Series Name,English,Deutsch,Nederlands
Extreme Java Camp Flexible Design Patterns,When is next Extreme Java Camp Flexible Design Patterns happening?,Wann findet die nächste Extreme Java Camp Flexible Design Patterns statt?,Wanneer vindt die volgende Extreme Java Camp Flexible Design Patterns plaats?
Extreme Java Camp Flexible Java Threads,When is next Extreme Java Camp Flexible Java Threads happening?,Wann findet die nächste Extreme Java Camp Flexible Java Threads statt?,Wanneer vindt die volgende Extreme Java Camp Flexible Java Threads plaats?
Extreme Java Camp Java 11 und 17 meistern,When is next Extreme Java Camp Java 11 und 17 meistern happening?,Wann findet die nächste Extreme Java Camp Java 11 und 17 meistern statt?,Wanneer vindt die volgende Extreme Java Camp Java 11 und 17 meistern plaats?
Extreme Java Camp Refactoring und Design Pattern,When is next Extreme Java Camp Refactoring und Design Pattern happening?,Wann findet die nächste Extreme Java Camp Refactoring und Design Pattern statt?,Wanneer vindt die volgende Extreme Java Camp Refactoring und Design Pattern plaats?
Extreme Java Camp Themeninhalte,When is next Extreme Java Camp Themeninhalte happening?,Wann findet die nächste Extreme Java Camp Themeninhalte statt?,Wanneer vindt die volgende Extreme Java Camp Themeninhalte plaats?
iJS London,When is next iJS London happening?,Wann findet die nächste iJS London statt?,Wanneer vindt die volgende iJS London plaats?
iJS Munich,When is next iJS Munich happening?,Wann findet die nächste iJS München statt?,Wanneer vindt die volgende iJS München plaats?
iJS New York,When is next iJS New York happening?,Wann findet die nächste iJS New York statt?,Wanneer vindt die volgende iJS New York plaats?
"iJS San Diego, CA","When is next iJS San Diego, CA happening?","Wann findet die nächste iJS San Diego, CA statt?","Wanneer vindt die volgende iJS San Diego, CA plaats?"
iJS Singapore,When is next iJS Singapore happening?,Wann findet die nächste iJS Singapore statt?,Wanneer vindt die volgende iJS Singapore plaats?
IoT Con Munich,When is next IoT Con Munich happening?,Wann findet die nächste IoT Con München statt?,Wanneer vindt die volgende IoT Con München plaats?
International PHP Conference Berlin,When is next International PHP Conference Berlin happening?,Wann findet die nächste International PHP Conference Berlin statt?,Wanneer vindt die volgende International PHP Conference Berlijn plaats?
International PHP Conference Munich,When is next International PHP Conference Munich happening?,Wann findet die nächste International PHP Conference München statt?,Wanneer vindt die volgende International PHP Conference München plaats?
IT Security Camp on site,When is next IT Security Camp on site happening?,Wann findet die nächste IT Security Camp on site statt?,Wanneer vindt die volgende IT Security Camp on site plaats?
IT Security Camp remote,When is next IT Security Camp remote happening?,Wann findet die nächste IT Security Camp remote statt?,Wanneer vindt die volgende IT Security Camp remote plaats?
IT Security Summit BER,When is next IT Security Summit BER happening?,Wann findet der nächste IT Security Summit BER statt?,Wanneer vindt die volgende IT Security Summit BER plaats?
IT Security Summit MUE,When is next IT Security Summit MUE happening?,Wann findet der nächste IT Security Summit MUE statt?,Wanneer vindt die volgende IT Security Summit MUE plaats?
JavaCamp Munich,When is next JavaCamp Munich happening?,Wann findet die nächste JavaCamp München statt?,Wanneer vindt die volgende JavaCamp München plaats?
JavaScript Days Berlin,When is next JavaScript Days Berlin happening?,Wann findet die nächste JavaScript Days Berlin statt?,Wanneer vindt die volgende JavaScript Days Berlijn plaats?
JavaScript Days München,When is next JavaScript Days Munich happening?,Wann findet die nächste JavaScript Days München statt?,Wanneer vindt die volgende JavaScript Days München plaats?
JAX,When is next JAX happening?,Wann findet die nächste JAX statt?,Wanneer vindt die volgende JAX plaats?
W-JAX,When is next W-JAX happening?,Wann findet die nächste W-JAX statt?,Wanneer vindt die volgende W-JAX plaats?
JAX London,When is next JAX London happening?,Wann findet die nächste JAX London statt?,Wanneer vindt die volgende JAX London plaats?
JAX Microservices Camp,When is next JAX Microservices Camp happening?,Wann findet die nächste JAX Microservices Camp statt?,Wanneer vindt die volgende JAX Microservices Camp plaats?
JAX New York,When is next JAX New York happening?,Wann findet die nächste JAX New York statt?,Wanneer vindt die volgende JAX New York plaats?
MAD Summit Berlin,When is next MAD Summit Berlin happening?,Wann findet die nächste MAD Summit Berlin statt?,Wanneer vindt die volgende MAD Summit Berlijn plaats?
MAD Summit München,When is next MAD Summit Munich happening?,Wann findet die nächste MAD Summit München statt?,Wanneer vindt die volgende MAD Summit München plaats?
ML Conference Berlin,When is next ML Conference Berlin happening?,Wann findet die nächste ML Conference Berlin statt?,Wanneer vindt die volgende ML Conference Berlijn plaats?
MLcon GenAI Camp,When is next MLcon GenAI Camp happening?,Wann findet die nächste MLcon GenAI Camp statt?,Wanneer vindt die volgende MLcon GenAI Camp plaats?
MLcon London,When is next MLcon London happening?,Wann findet die nächste MLcon London statt?,Wanneer vindt die volgende MLcon London plaats?
ML Conference Munich,When is next ML Conference Munich happening?,Wann findet die nächste ML Conference München statt?,Wanneer vindt die volgende ML Conference München plaats?
ML Con New York,When is next ML Con New York happening?,Wann findet die nächste ML Con New York statt?,Wanneer vindt die volgende ML Con New York plaats?
MLcon - San Diego,When is next MLcon - San Diego happening?,Wann findet die nächste MLcon - San Diego statt?,Wanneer vindt die volgende MLcon - San Diego plaats?
ML Con Singapore,When is next ML Con Singapore happening?,Wann findet die nächste ML Con Singapore statt?,Wanneer vindt die volgende ML Con Singapore plaats?
KI und .NET Camp online,When is next KI und .NET Camp online happening?,Wann findet die nächste KI und .NET Camp online statt?,Wanneer vindt die volgende KI und .NET Camp online plaats?
SLA Berlin,When is next SLA Berlin happening?,Wann findet die nächste SLA Berlin statt?,Wanneer vindt die volgende SLA Berlijn plaats?
Software Architecture Camp - Advanced Modul ADOC,When is next Modul ADOC happening?,Wann findet die nächste Software Architecture Camp - Advanced Modul ADOC statt?,Wanneer vindt die volgende Software Architecture Camp - Advanced Modul ADOC plaats?
Software Architecture Camp - Advanced Modul AGILA,When is next Modul AGILA happening?,Wann findet die nächste Software Architecture Camp - Advanced Modul AGILA statt?,Wanneer vindt die volgende Software Architecture Camp - Advanced Modul AGILA plaats?
Software Architecture Camp - Advanced Modul ARCEVAL,When is next Modul ARCEVAL happening?,Wann findet die nächste Software Architecture Camp - Advanced Modul ARCEVAL statt?,Wanneer vindt die volgende Software Architecture Camp - Advanced Modul ARCEVAL plaats?
Software Architecture Camp - Advanced Modul CLOUDINFRA,When is next Advanced Modul CLOUDINFRA happening?,Wann findet die nächste Advanced Modul CLOUDINFRA statt?,Wanneer vindt die volgende Advanced Modul CLOUDINFRA plaats?
Software Architecture Camp - Advanced Modul DDD,When is next Advanced Modul DDD happening?,Wann findet die nächste Advanced Modul DDD statt?,Wanneer vindt die volgende Advanced Modul DDD plaats?
Software Architecture Camp - Advanced Modul DSL,When is next Advanced Modul DSL happening?,Wann findet die nächste Advanced Modul DSL statt?,Wanneer vindt die volgende Advanced Modul DSL plaats?
Software Architecture Camp - Advanced Modul FLEX,When is next Advanced Modul FLEX happening?,Wann findet die nächste Advanced Modul FLEX statt?,Wanneer vindt die volgende Advanced Modul FLEX plaats?
Software Architecture Camp - Advanced Modul FUNAR,When is next Advanced Modul FUNAR happening?,Wann findet die nächste Advanced Modul FUNAR statt?,Wanneer vindt die volgende Advanced Modul FUNAR plaats?
Software Architecture Camp - Advanced Modul IMPROVE,When is next Advanced Modul IMPROVE happening?,Wann findet die nächste Advanced Modul IMPROVE statt?,Wanneer vindt die volgende Advanced Modul IMPROVE plaats?
Software Architecture Camp - Advanced Modul SOFT,When is next Advanced Modul SOFT happening?,Wann findet die nächste Advanced Modul SOFT statt?,Wanneer vindt die volgende Advanced Modul SOFT plaats?
Software Architecture Camp - Advanced Modul SWARC4AI,When is next Advanced Modul SWARC4AI happening?,Wann findet die nächste Advanced Modul SWARC4AI statt?,Wanneer vindt die volgende Advanced Modul SWARC4AI plaats?
Software Architecture Camp - Advanced Modul WEB,When is next Advanced Modul WEB happening?,Wann findet die nächste Advanced Modul WEB statt?,Wanneer vindt die volgende Advanced Modul WEB plaats?
Software Architecture Camp - Advanced Modul WEBSEC,When is next Advanced Modul WEBSEC happening?,Wann findet die nächste Advanced Modul WEBSEC statt?,Wanneer vindt die volgende Advanced Modul WEBSEC plaats?
Software Architecture Camp - Foundation,When is next Foundation happening?,Wann findet die nächste Foundation statt?,Wanneer vindt die volgende Foundation plaats?
Software Architecture Summit Berlin,When is next Software Architecture Summit Berlin happening?,Wann findet die nächste Software Architecture Summit Berlin statt?,Wanneer vindt die volgende Software Architecture Summit Berlijn plaats?
Software Architecture Summit München,When is next Software Architecture Summit Munich happening?,Wann findet die nächste Software Architecture Summit München statt?,Wanneer vindt die volgende Software Architecture Summit München plaats?
webinale,When is next webinale happening?,Wann findet die nächste webinale statt?,Wanneer vindt die volgende webinale plaats?
Web Security Camp,When is next Web Security Camp happening?,Wann findet die nächste Web Security Camp statt?,Wanneer vindt die volgende Web Security Camp plaats?

